index,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,x_cv_ascertainment,x_cv_diagnostic_criteria,x_cv_representative,year_end,year_start
0,74,35,,JPN,smr,,0.8,female,-99.0,11.39,3.70723146804,0,0,0,1987,1978
1,74,35,,JPN,smr,,2.59,male,-99.0,9.94,4.42200736124,0,0,0,1987,1978
2,99,45,,JPN,smr,,1.04,female,-99.0,9.74,25.4302161087,0,0,0,1992,1984
3,99,45,,JPN,smr,,1.96,male,-99.0,5.24,6.8271943687,0,0,0,1992,1984
4,99,60,,DEU,p,93.0,,total,-0.00099,,0.0,1,1,0,1998,1998
5,79,75,,DEU,p,171.0,,total,-0.99,,0.00584795321634,0,0,0,1997,1997
6,89,85,,DEU,p,115.0,,total,-0.99,,0.0260869565215,0,0,0,1997,1997
7,74,70,,DEU,p,270.0,,total,-0.99,,0.0,0,0,0,1997,1997
8,84,80,,DEU,p,154.0,,total,-0.99,,0.0,0,0,0,1997,1997
9,69,65,,DEU,p,272.0,,total,-0.99,,0.0,0,0,0,1997,1997
10,99,65,,DEU,p,982.0,,total,-99.0,,0.0,1,0,0,1992,1992
11,24,20,,north_america_high_income,csmr,,1.53e-08,female,-99.0,9.02e-08,3.19e-08,0,0,0,1990,1990
12,29,25,,north_america_high_income,csmr,,2.23e-08,female,-99.0,1.26e-07,4.78e-08,0,0,0,1990,1990
13,69,55,,AUS,p,467.0,,total,-99.0,,0.00428265524624,0,0,0,2005,2005
14,99,70,,AUS,p,559.0,,total,-99.0,,0.0125223613595,0,0,0,2005,2005
15,99,65,,DEU,p,394.0,0.0,male,-99.0,0.03,0.00761421319795,0,0,0,1992,1992
16,99,30,,SAU,p,22630.0,,total,-0.099,,0.00344675209898,1,1,0,1989,1989
17,99,70,,LBY,p,11937.0,,male,-0.00099,,0.00360224512021,1,1,0,1985,1985
18,99,65,,DEU,p,588.0,0.0,female,-99.0,0.01,0.00680272108842,0,0,0,1992,1992
19,59,20,,DEU,p,2273872.0,,total,-99.0,,0.0001671158271,0,0,0,1993,1981
20,97,75,,AUS,p,282.0,,male,-99.0,,0.00709219858154,1,1,0,1994,1991
21,99,80,,ARG,p,137.0,,male,-0.00099,,0.0437956204376,0,0,0,1991,1991
22,99,70,,LBY,p,10173.0,,female,-0.00099,,0.0221173695075,1,1,0,1985,1985
23,69,65,,ESP,i,267.0,,male,-0.00099,,0.0,0,0,0,1998,1994
24,69,60,,LBY,p,4100.0,,male,-0.00099,,0.00463414634146,1,1,0,1985,1985
25,74,70,,ESP,i,579.0,0.000808,male,-0.00099,0.005808,0.0,0,0,0,1998,1994
26,74,70,,ESP,i,715.0,0.000668,female,-0.00099,0.004802,0.0,0,0,0,1998,1994
27,79,75,,ESP,i,348.0,,male,-0.00099,,0.00287356321838,0,0,0,1998,1994
28,79,75,,ESP,i,531.0,0.000571,female,-0.00099,0.005365,0.00753295668548,0,0,0,1998,1994
29,84,80,,ESP,i,346.0,,female,-0.00099,,0.0,0,0,0,1998,1994
30,84,80,,ESP,p,460.0,0.021,female,-0.99,0.057,0.00652173913042,1,1,0,1994,1994
31,79,75,,ESP,p,403.0,0.019,male,-0.99,0.055,0.00248138957816,1,1,0,1994,1994
32,74,70,,ESP,p,621.0,0.01,male,-0.99,0.032,0.00322061191626,1,1,0,1994,1994
